label_name,transaction_count,mean_raw_score,median_raw_score,p05_raw_score,p25_raw_score,p75_raw_score,p95_raw_score
fraud,3083,0.66985244,0.7401338,0.1216725878417492,0.40280963480472565,0.9734965562820435,0.9980964004993439
legitimate,85498,0.18326165,0.119284585,0.01621799962595105,0.055838956497609615,0.2399035468697548,0.5987632572650909
