method,brier_score,expected_calibration_error,pr_auc,roc_auc,reliability_bin_count
sigmoid,0.02289209346574982,0.003719008472513284,0.458580304106603,0.897459026504985,10
isotonic,0.022901614013658457,0.00423490747897626,0.44171360683592237,0.8962770549297788,9
uncalibrated,0.06853256871765329,0.16118823186314096,0.458580304106603,0.897459026504985,10
