error_category,transaction_count,fraud_count,mean_raw_score,median_raw_score,minimum_raw_score,maximum_raw_score,mean_transaction_amount,median_transaction_amount,transaction_share
captured_fraud_reviewed,870,870,0.98941046,0.99377835,0.96114266,0.9996904,87.24820114942528,40.7,0.009821519287431841
missed_fraud_not_reviewed,2213,2213,0.54422414,0.5602996,0.004672089,0.9609984,177.90446723904202,77.0,0.02498278411849042
unnecessary_review_legitimate,130,0,0.9829727,0.98387396,0.9616733,0.9994261,61.27389230769231,30.494,0.0014675833418001604
correctly_low_risk_legitimate,85368,0,0.18204382,0.119020164,0.00021116232,0.9600563,136.7161004006185,68.95,0.9637281132522776
