rank,transformed_feature,mean_absolute_shap_value
429,is_new_card1,3.7566350121051073e-07
430,V138,2.441567471250892e-07
431,V153,2.3024190356954927e-07
432,V216,1.820735028013587e-07
433,V98,1.3840365037322045e-07
434,V193,1.1563935619778932e-07
435,V107,0.0
436,V109,0.0
437,V110,0.0
438,V111,0.0
439,V113,0.0
440,V116,0.0
441,V117,0.0
442,V119,0.0
443,V120,0.0
444,V122,0.0
445,V125,0.0
446,V14,0.0
447,V154,0.0
448,V155,0.0
449,V179,0.0
450,V18,0.0
451,V183,0.0
452,V185,0.0
453,V191,0.0
454,V196,0.0
455,V197,0.0
456,V22,0.0
457,V239,0.0
458,V240,0.0
459,V241,0.0
460,V252,0.0
461,V269,0.0
462,V27,0.0
463,V272,0.0
464,V28,0.0
465,V305,0.0
466,V31,0.0
467,V328,0.0
468,V334,0.0
469,V41,0.0
470,V65,0.0
471,V68,0.0
472,V80,0.0
473,V88,0.0
474,V89,0.0
475,V9,0.0
476,id_34_match_status:-1,0.0
477,is_new_DeviceInfo,0.0
478,is_new_R_emaildomain,0.0
479,is_new_addr1,0.0
480,missingindicator_D10,0.0
481,missingindicator_D11,0.0
482,missingindicator_D12,0.0
483,missingindicator_D9,0.0
484,missingindicator_R_emaildomain_target_encoded,0.0
485,missingindicator_V10,0.0
486,missingindicator_V11,0.0
487,missingindicator_V12,0.0
488,missingindicator_V139,0.0
489,missingindicator_V14,0.0
490,missingindicator_V141,0.0
491,missingindicator_V142,0.0
492,missingindicator_V143,0.0
493,missingindicator_V144,0.0
494,missingindicator_V145,0.0
495,missingindicator_V146,0.0
496,missingindicator_V147,0.0
497,missingindicator_V148,0.0
498,missingindicator_V149,0.0
499,missingindicator_V15,0.0
500,missingindicator_V150,0.0
501,missingindicator_V151,0.0
502,missingindicator_V152,0.0
503,missingindicator_V153,0.0
504,missingindicator_V154,0.0
505,missingindicator_V155,0.0
506,missingindicator_V156,0.0
507,missingindicator_V157,0.0
508,missingindicator_V158,0.0
509,missingindicator_V159,0.0
510,missingindicator_V16,0.0
511,missingindicator_V160,0.0
512,missingindicator_V161,0.0
513,missingindicator_V162,0.0
514,missingindicator_V163,0.0
515,missingindicator_V164,0.0
516,missingindicator_V165,0.0
517,missingindicator_V166,0.0
518,missingindicator_V167,0.0
519,missingindicator_V168,0.0
520,missingindicator_V17,0.0
521,missingindicator_V170,0.0
522,missingindicator_V171,0.0
523,missingindicator_V172,0.0
524,missingindicator_V173,0.0
525,missingindicator_V174,0.0
526,missingindicator_V175,0.0
527,missingindicator_V176,0.0
528,missingindicator_V177,0.0
529,missingindicator_V178,0.0
