case_group,holdout_row_position,true_label,raw_classifier_probability,transformed_feature,shap_value,absolute_shap_value
correctly_ranked_fraud,33672,1,0.9996904134750366,C1,1.5192512176112505,1.5192512176112505
correctly_ranked_fraud,33672,1,0.9996904134750366,V258,0.8300418758527376,0.8300418758527376
correctly_ranked_fraud,33672,1,0.9996904134750366,V45,-0.5288382679342758,0.5288382679342758
correctly_ranked_fraud,33672,1,0.9996904134750366,C2,0.45619698786013757,0.45619698786013757
correctly_ranked_fraud,33672,1,0.9996904134750366,V87,0.33901244658028007,0.33901244658028007
correctly_ranked_fraud,33672,1,0.9996904134750366,history_R_emaildomain_transaction_count,0.31423606098245366,0.31423606098245366
correctly_ranked_fraud,33672,1,0.9996904134750366,C11,0.31189125724154293,0.31189125724154293
correctly_ranked_fraud,33672,1,0.9996904134750366,C6,0.3038827818512218,0.3038827818512218
correctly_ranked_fraud,33672,1,0.9996904134750366,card6_target_encoded,0.2856018789580558,0.2856018789580558
correctly_ranked_fraud,33672,1,0.9996904134750366,C14,-0.2648428013249068,0.2648428013249068
correctly_ranked_legitimate,37502,0,0.00021116231800988317,V258,-0.5261389023661613,0.5261389023661613
correctly_ranked_legitimate,37502,0,0.00021116231800988317,D13,0.4847236018860713,0.4847236018860713
correctly_ranked_legitimate,37502,0,0.00021116231800988317,history_DeviceInfo_transaction_count,0.36469688777357806,0.36469688777357806
correctly_ranked_legitimate,37502,0,0.00021116231800988317,history_addr1_transaction_count,-0.35513923909130973,0.35513923909130973
correctly_ranked_legitimate,37502,0,0.00021116231800988317,V285,-0.3469655248054769,0.3469655248054769
correctly_ranked_legitimate,37502,0,0.00021116231800988317,D6,-0.3390935347534251,0.3390935347534251
correctly_ranked_legitimate,37502,0,0.00021116231800988317,V102,-0.3354775444015395,0.3354775444015395
correctly_ranked_legitimate,37502,0,0.00021116231800988317,C13,-0.2915597187896783,0.2915597187896783
correctly_ranked_legitimate,37502,0,0.00021116231800988317,card1,-0.26162479332197836,0.26162479332197836
correctly_ranked_legitimate,37502,0,0.00021116231800988317,velocity_card1_1440min,-0.2512044991547009,0.2512044991547009
missed_fraud_low_score,3563,1,0.004672089125961065,C14,-0.6303198043990996,0.6303198043990996
missed_fraud_low_score,3563,1,0.004672089125961065,C1,0.5934311457850563,0.5934311457850563
missed_fraud_low_score,3563,1,0.004672089125961065,C13,-0.46822611402272013,0.46822611402272013
missed_fraud_low_score,3563,1,0.004672089125961065,amount_global_24h_zscore,-0.389685226968606,0.389685226968606
missed_fraud_low_score,3563,1,0.004672089125961065,V70,-0.29065593124832956,0.29065593124832956
missed_fraud_low_score,3563,1,0.004672089125961065,amount_global_168h_mean,-0.24003242366045016,0.24003242366045016
missed_fraud_low_score,3563,1,0.004672089125961065,amount_global_168h_zscore,-0.16331699612969533,0.16331699612969533
missed_fraud_low_score,3563,1,0.004672089125961065,C11,0.154086379830027,0.154086379830027
missed_fraud_low_score,3563,1,0.004672089125961065,amount_global_1h_zscore,-0.13485672734241233,0.13485672734241233
missed_fraud_low_score,3563,1,0.004672089125961065,amount_card1_168h_zscore,-0.12466000952391186,0.12466000952391186
unnecessary_review_high_score,80686,0,0.9994261264801025,V258,0.7895815457038116,0.7895815457038116
unnecessary_review_high_score,80686,0,0.9994261264801025,C14,0.5305719460875261,0.5305719460875261
unnecessary_review_high_score,80686,0,0.9994261264801025,C13,0.4813071819140459,0.4813071819140459
unnecessary_review_high_score,80686,0,0.9994261264801025,C1,0.46841728981491176,0.46841728981491176
unnecessary_review_high_score,80686,0,0.9994261264801025,history_R_emaildomain_transaction_count,0.3825669030874269,0.3825669030874269
unnecessary_review_high_score,80686,0,0.9994261264801025,card6_target_encoded,0.36651343266217734,0.36651343266217734
unnecessary_review_high_score,80686,0,0.9994261264801025,V87,0.3038369641752797,0.3038369641752797
unnecessary_review_high_score,80686,0,0.9994261264801025,D4,0.20951887909462674,0.20951887909462674
unnecessary_review_high_score,80686,0,0.9994261264801025,card3,0.20893501396488864,0.20893501396488864
unnecessary_review_high_score,80686,0,0.9994261264801025,C2,0.20736673301883274,0.20736673301883274
